compound_name,(+)-Etomidate,(-)-Etomidate,(R)-Ibuprofen,(S)-Ibuprofen,(S)-Naproxen,Aspirin,Bupivacaine,Carbamazepine,Diclofenac,Gabapentin,Ibuprofen (Racemate),Ketamine,Lamotrigine,Levetiracetam,Lidocaine,Naproxen (Racemate),Paracetamol,Pregabalin,Propofol,rac-Etomidate
Ibuprofen (Racemate),0.8380817098475258,0.8380817098475258,1.0,1.0,0.8734403922594389,0.8338763984501665,0.9002756367784499,0.8130980609588602,0.8983732124719945,0.37204580241691376,1.0,0.8841125691309418,0.7476019261170058,0.4040752852602991,0.8952881279506095,0.8734403922594389,0.8017557632030176,0.6043868462871549,0.9684902240602393,0.8380817098475258
Ketamine,0.7409585736349484,0.7409585736349484,0.8841125691309418,0.8841125691309418,0.8135885378894743,0.6990620736425556,0.9184501474121285,0.7770533569225757,0.8028880096316237,0.6600983619844496,0.8841125691309418,0.9999999999999999,0.6160223216064171,0.6199304198780667,0.7848839282012742,0.8135885378894743,0.6534640392130713,0.5854905538443586,0.84905896521267,0.7409585736349484
Lamotrigine,0.9277781834703687,0.9277781834703687,0.7476019261170058,0.7476019261170058,0.8566513376743885,0.8134270340432018,0.6303146064351617,0.8598892366800224,0.9062057756057679,0.06011130897782881,0.7476019261170058,0.6160223216064171,0.9999999999999999,0.08064778385455117,0.7445291969126746,0.8566513376743885,0.9351125124928962,0.20506619579876548,0.8054046806003505,0.9277781834703687
Levetiracetam,0.21912524504463882,0.21912524504463882,0.4040752852602991,0.4040752852602991,0.24880667576405963,0.3215879404125773,0.681364093647772,0.13327849749579576,0.20430156738209967,0.8944271909999159,0.4040752852602991,0.6199304198780667,0.08064778385455117,0.9999999999999998,0.46774766572146437,0.24880667576405963,0.24595492912420727,0.7797730291639319,0.3462053668393498,0.21912524504463882
Lidocaine,0.8827348295047495,0.8827348295047495,0.8952881279506095,0.8952881279506095,0.8198340515786546,0.777300330757555,0.8880365878611453,0.7218397547786817,0.8173029975005109,0.31193973345246884,0.8952881279506095,0.7848839282012742,0.7445291969126746,0.46774766572146437,1.0,0.8198340515786546,0.778498944161523,0.625978857295168,0.8850794148547424,0.8827348295047495
Naproxen (Racemate),0.9493311975587311,0.9493311975587311,0.8734403922594389,0.8734403922594389,0.9999999999999999,0.923229535613814,0.7133980980394072,0.9778119717864392,0.9873059571550873,0.18544954675472894,0.8734403922594389,0.8135885378894743,0.8566513376743885,0.24880667576405963,0.8198340515786546,0.9999999999999999,0.9078412990032038,0.23359392871314266,0.8257035174973978,0.9493311975587311
Paracetamol,0.9239131562447777,0.9239131562447777,0.8017557632030176,0.8017557632030176,0.9078412990032038,0.9553170046101168,0.6548483922086271,0.8741467574762477,0.9331952969008203,0.130945700219731,0.8017557632030176,0.6534640392130713,0.9351125124928962,0.24595492912420727,0.778498944161523,0.9078412990032038,1.0000000000000002,0.28589667595674534,0.7860084596620844,0.9239131562447777
Pregabalin,0.26339329200376005,0.26339329200376005,0.6043868462871549,0.6043868462871549,0.23359392871314266,0.2973505167250263,0.8153084551415756,0.09037128496931669,0.25974269357686797,0.73282810879294,0.6043868462871549,0.5854905538443586,0.20506619579876548,0.7797730291639319,0.625978857295168,0.23359392871314266,0.28589667595674534,0.9999999999999998,0.6229883252610695,0.26339329200376005
Propofol,0.8275891183029994,0.8275891183029994,0.9684902240602393,0.9684902240602393,0.8257035174973978,0.7474269373872828,0.9126134824596256,0.7690288519554892,0.8705267579246025,0.37714451164442864,0.9684902240602393,0.84905896521267,0.8054046806003505,0.3462053668393498,0.8850794148547424,0.8257035174973978,0.7860084596620844,0.6229883252610695,1.0,0.8275891183029994
rac-Etomidate,1.0,1.0,0.8380817098475258,0.8380817098475258,0.9493311975587311,0.8910421112136307,0.7185757571479553,0.9292399270937851,0.9563993898788637,0.10393492741038726,0.8380817098475258,0.7409585736349484,0.9277781834703687,0.21912524504463882,0.8827348295047495,0.9493311975587311,0.9239131562447777,0.26339329200376005,0.8275891183029994,1.0
