compound_name,atom_index,atom_symbol,atomic_number,degree,formal_charge,valence,hybridization,is_aromatic,is_in_ring,ring_size,num_hydrogens,neighbor_c,neighbor_n,neighbor_o,neighbor_halogen,aromatic_neighbors,single_bonds,double_bonds,triple_bonds,gasteiger_charge,mean_neighbor_charge,max_neighbor_charge,min_neighbor_charge,PC1_raw,PC2_raw,PC1_scaled,PC2_scaled,cluster,cluster_name
Bupivacaine,2,C,6,2,0,4,3,0,0,0,2,2,0,0,0,0,2,0,0,-0.04065341314347212,-0.028020616852738992,-0.0010879414802263832,-0.0549532922252516,-3.435361832205558,1.0501619897105892,-1.3935637679117332,-1.5743035129806804,1,Aliphatic sp3 Atom
Bupivacaine,3,C,6,2,0,4,3,0,0,0,2,1,1,0,0,0,2,0,0,-0.0010879414802263832,-0.16631244607076912,-0.04065341314347212,-0.2919714789980661,-3.5527976106268273,0.8179521245298735,-0.7431457790677893,-3.1115091722343435,3,Heteroatom-Adjacent Carbon
Bupivacaine,4,N,7,3,0,3,3,0,1,6,0,3,0,0,0,0,3,0,0,-0.2919714789980661,0.029103490038663776,0.0894750367915614,-0.0010879414802263832,2.2023182792835905,2.2777822630477607,-0.4853924687635951,0.07639144937651728,5,Saturated Ring Atom
Bupivacaine,5,C,6,2,0,4,3,0,1,6,2,1,1,0,0,0,2,0,0,-0.0010766251953436786,-0.16614482063813682,-0.04031816227820756,-0.2919714789980661,2.0837639137129265,0.863507489671548,0.6797548482252876,-2.276467133077953,3,Heteroatom-Adjacent Carbon
Bupivacaine,6,C,6,2,0,4,3,0,1,6,2,2,0,0,0,0,2,0,0,-0.04031816227820756,-0.025580308948014465,-0.0010766251953436786,-0.050083992700685254,2.2011235005185212,1.0951864513863443,0.01957224560321083,-0.7256631268013438,5,Saturated Ring Atom
Bupivacaine,7,C,6,2,0,4,3,0,1,6,2,2,0,0,0,0,2,0,0,-0.050083992700685254,-0.034366926942268713,-0.028415691606329865,-0.04031816227820756,2.201359910921042,1.0943203068562788,0.05513222003372097,-0.739620488909161,5,Saturated Ring Atom
Bupivacaine,8,C,6,2,0,4,3,0,1,6,2,2,0,0,0,0,2,0,0,-0.028415691606329865,0.01969552204543807,0.0894750367915614,-0.050083992700685254,2.199564022176459,1.0928685934532956,-0.19956273391386808,-0.5381755384423227,5,Saturated Ring Atom
Bupivacaine,9,C,6,3,0,4,3,0,1,6,1,2,1,0,0,0,3,0,0,0.0894750367915614,-0.026380884359247115,0.2412445175266546,-0.2919714789980661,2.188276687185011,2.3744735296602197,0.6288332492510081,-2.099127354191581,5,Saturated Ring Atom
Bupivacaine,10,C,6,3,0,4,2,0,0,0,0,1,1,1,0,0,2,1,0,0.2412445175266546,-0.1692231737568619,0.0894750367915614,-0.32423494936901764,-3.44082176461423,1.263807751214216,-0.2554358346821974,-4.364201275020012,4,Carbonyl Carbon
Bupivacaine,11,O,8,1,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,-0.27290960869312947,0.2412445175266546,0.2412445175266546,0.2412445175266546,-3.597585213062962,-2.015863366801801,-4.375212545231756,1.6264396818648852,6,Carbonyl Oxygen
Bupivacaine,12,N,7,2,0,3,2,0,0,0,1,2,0,0,0,1,2,0,0,-0.32423494936901764,0.14392319753358848,0.2412445175266546,0.04660187754052234,-3.2328906576849934,0.47046765694194015,-2.3720796058420106,0.8852618732688955,2,Electron-Rich Heteroatom
Bupivacaine,13,C,6,3,0,4,2,1,1,6,0,2,1,0,0,2,1,0,0,0.04660187754052234,-0.1262247017868655,-0.02721957799578945,-0.32423494936901764,3.144273693954337,0.5750939427902315,3.14678152798762,-0.48461636745447023,7,Activated Aromatic/Heteroaromatic
Bupivacaine,14,C,6,3,0,4,2,1,1,6,0,3,0,0,0,2,1,0,0,-0.02721957799578945,-0.016111606290497973,0.04660187754052234,-0.057234392389614315,3.260883607524439,0.8033489506753009,2.4085442411332583,1.15263465030478,0,Aromatic Carbon
Bupivacaine,15,C,6,1,0,4,3,0,0,0,3,1,0,0,0,1,1,0,0,-0.03770230402240195,-0.02721957799578945,-0.02721957799578945,-0.02721957799578945,-3.302250848790868,-0.5528767856155956,-1.5945714196697642,-1.0281111149182214,1,Aliphatic sp3 Atom
Bupivacaine,16,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0,-0.057234392389614315,-0.044404298645112715,-0.02721957799578945,-0.061589019294435984,3.1530971889183905,-0.710604212469991,1.9932213910399377,1.3475342731120228,0,Aromatic Carbon
Bupivacaine,17,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0,-0.061589019294435984,-0.057234392389614315,-0.057234392389614315,-0.057234392389614315,3.1535334602965546,-0.7103698333207653,2.055415754609559,1.2996466137550462,0,Aromatic Carbon
Bupivacaine,18,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0,-0.057234392389614315,-0.044404298645112715,-0.02721957799578945,-0.061589019294435984,3.1530971889183905,-0.710604212469991,1.9932213910399377,1.3475342731120228,0,Aromatic Carbon
Bupivacaine,19,C,6,3,0,4,2,1,1,6,0,3,0,0,0,2,1,0,0,-0.02721957799578945,-0.016111606290497973,0.04660187754052234,-0.057234392389614315,3.260883607524439,0.8033489506753009,2.4085442411332583,1.15263465030478,0,Aromatic Carbon
Bupivacaine,20,C,6,1,0,4,3,0,0,0,3,1,0,0,0,1,1,0,0,-0.03770230402240195,-0.02721957799578945,-0.02721957799578945,-0.02721957799578945,-3.302250848790868,-0.5528767856155956,-1.5945714196697642,-1.0281111149182214,1,Aliphatic sp3 Atom
Carbamazepine,0,N,7,1,0,3,2,0,0,0,2,1,0,0,0,0,1,0,0,-0.3508838374482669,0.32342219617413165,0.32342219617413165,0.32342219617413165,-3.5902404570634525,-0.9941691968954549,-4.150873329738347,2.0462135141864084,2,Electron-Rich Heteroatom
Carbamazepine,1,C,6,3,0,4,2,0,0,0,0,0,2,1,0,0,2,1,0,0.32342219617413165,-0.2870218637362605,-0.24809430754121092,-0.3508838374482669,-3.556717086615881,1.0172303390229844,0.6267532610398564,-5.8844053231207,4,Carbonyl Carbon
Carbamazepine,2,O,8,1,0,2,2,0,0,0,0,1,0,0,0,0,0,1,0,-0.24809430754121092,0.32342219617413165,0.32342219617413165,0.32342219617413165,-3.600300678408191,-2.0265175878831023,-4.741403593668077,2.021502961423318,6,Carbonyl Oxygen
Carbamazepine,3,N,7,3,0,3,2,0,1,7,0,3,0,0,0,2,3,0,0,-0.26208744621930363,0.14642684052521107,0.32342219617413165,0.05792916270075077,3.667586366432873,1.9538389150815938,0.002415720605734306,1.7251265315522182,5,Saturated Ring Atom
Carbamazepine,4,C,6,3,0,4,2,1,1,6,0,2,1,0,0,2,1,0,0,0.05792916270075077,-0.10021457277641899,-0.0013102602336453582,-0.26208744621930363,3.143021830199976,0.5687085560992289,2.988580924220087,-0.2978908656794651,7,Activated Aromatic/Heteroaromatic
Carbamazepine,5,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0,-0.03724601187630796,-0.001103559791832777,0.05792916270075077,-0.06013628228441632,3.151694929668188,-0.7123352782231498,1.795891832655782,1.5104474890110666,0,Aromatic Carbon
Carbamazepine,6,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0,-0.06013628228441632,-0.04938279911434518,-0.03724601187630796,-0.06151958635238239,3.1532524951421457,-0.7104667333840045,2.0151620100655245,1.3302059922250837,0,Aromatic Carbon
Carbamazepine,7,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0,-0.06151958635238239,-0.05650509771832739,-0.052873913152238446,-0.06013628228441632,3.153504187048435,-0.7101801252965187,2.0507597704460077,1.3007507775460343,0,Aromatic Carbon
Carbamazepine,8,C,6,2,0,4,2,1,1,6,1,2,0,0,0,2,0,0,0,-0.052873913152238446,-0.031414923293013874,-0.0013102602336453582,-0.06151958635238239,3.1526594953177445,-0.7112084890057035,1.9316688765301553,1.3994541797170355,0,Aromatic Carbon
